rowid	mod-7	mod-12	mod-13	mod-14	mod-23	mod-109	mod-110	mod-111	mod-114	mod-127	mod-128	mod-131	CD34	CD68	CNP	GFAP	MBP	OLIG2	PC1
projid11327005	-0.000721	0.040217	0.030872	0.043351	0.029137	-0.026997	-0.042600	-0.038746	-0.029563	0.000186	-0.001718	0.007653	-0.053204	-0.027303	-0.048236	-0.038820	-0.038719	-0.038470	-0.043439
projid11331231	0.004340	0.024092	0.001250	-0.016051	0.048057	0.003869	-0.010673	0.006297	-0.036864	0.026798	0.045816	0.015656	0.009698	-0.089527	-0.022484	-0.087853	0.036238	-0.023761	-0.022768
projid11336574	-0.008725	0.016282	-0.008015	0.008886	0.012592	-0.006235	-0.036356	-0.022631	0.023875	-0.030768	-0.006507	-0.002405	-0.060467	0.005075	-0.031537	0.045040	-0.064920	0.009875	-0.012554
projid11342432	-0.022380	0.000710	0.027194	-0.013173	-0.015692	-0.015370	0.003150	0.016958	-0.007006	0.031466	0.014198	0.014089	0.031129	0.019791	0.045505	0.001595	-0.032344	0.029932	0.019309
projid11345331	-0.047925	-0.018689	-0.002533	-0.023809	0.009268	0.004539	0.029638	0.050265	-0.027112	0.046172	0.018974	0.022215	0.030559	-0.026182	0.026169	0.015533	-0.014252	0.027302	0.032064
projid11349119	-0.066885	0.035863	0.035759	0.025126	0.043058	-0.074131	-0.031064	-0.037526	-0.023241	0.051176	0.032155	0.048533	0.024557	-0.047780	-0.010230	-0.004410	0.026682	-0.060104	-0.028291
projid11353057	-0.042149	-0.053574	-0.050280	-0.019087	-0.010303	0.041768	0.049892	0.049175	0.053289	0.005721	0.010834	0.013992	0.045412	0.031077	0.019410	-0.023953	-0.008359	0.098092	0.052704
projid11395417	-0.000103	0.056780	0.046201	0.030935	0.058053	-0.015340	-0.057110	-0.030734	-0.040687	0.031549	0.076006	0.042871	-0.031792	-0.055898	-0.036070	-0.055659	-0.052594	-0.053342	-0.037800
projid11399321	0.013729	0.010388	-0.001780	-0.052379	0.006912	0.020470	-0.039719	0.037403	-0.008036	0.015089	0.033045	-0.002200	-0.026497	-0.001088	-0.049257	0.003816	-0.051273	-0.027580	0.040264
projid11409232	-0.009829	-0.010018	0.022304	0.003287	-0.031192	-0.013413	-0.025277	-0.001553	0.000612	0.009326	-0.030401	-0.010329	0.038021	-0.015302	-0.009860	0.033712	-0.078081	-0.011113	0.017110
